global_id,ObjectName,NameWinter,PhotoWinter,AdmArea,District,Address,Email,WebSite,HelpPhone,HelpPhoneExtension,WorkingHoursWinter,ClarificationOfWorkingHoursWinter,HasEquipmentRental,EquipmentRentalComments,HasTechService,TechServiceComments,HasDressingRoom,HasEatery,HasToilet,HasWifi,HasCashMachine,HasFirstAidPost,HasMusic,UsagePeriodWinter,DimensionsWinter,Lighting,SurfaceTypeWinter,Seats,Paid,PaidComments,DisabilityFriendly,ServicesWinter,geoData
407206358,Спортивный комплекс «Вешняки»,бассейн плавательный 25-ти метровый крытый,[{'Photo': '0c5ede35-f541-4fe4-9436-4c2411258d7b'}],Восточный административный округ,район Вешняки,"Косинская улица, дом 12Б",mso@mos.sport,mos.sport/,(495) 681-01-48,,"[{'DayOfWeek': 'понедельник', 'Hours': '07:00-23:00'}, {'DayOfWeek': 'вторник', 'Hours': '07:00-23:00'}, {'DayOfWeek': 'среда', 'Hours': '07:00-23:00'}, {'DayOfWeek': 'четверг', 'Hours': '07:00-23:00'}, {'DayOfWeek': 'пятница', 'Hours': '07:00-23:00'}, {'DayOfWeek': 'суббота', 'Hours': '08:30-21:30'}, {'DayOfWeek': 'воскресенье', 'Hours': '08:30-21:30'}]",,нет,,нет,,да,нет,да,нет,нет,да,да,01.01-31.12,"[{'Square': 275, 'Length': 25, 'Width': 11, 'Depth': 1.8}]",смешанное освещение,специальное покрытие,0,платно,,приспособлен для всех групп инвалидов,общая физическая подготовка,"{'coordinates': [37.8337185477648, 55.7247059690427], 'type': 'Point'}"
407207829,Спортивный комплекс «Альбатрос»,бассейн плавательный 25-ти метровый крытый,[{'Photo': 'd8160d41-875a-4ea4-85dd-1c9248e8ab3c'}],Восточный административный округ,район Косино-Ухтомский,"Лухмановская улица, дом 19А",mso@mos.sport,mos.sport/,(495) 681-01-48,,"[{'DayOfWeek': 'понедельник', 'Hours': '07:00-23:00'}, {'DayOfWeek': 'вторник', 'Hours': '07:00-23:00'}, {'DayOfWeek': 'среда', 'Hours': '07:00-23:00'}, {'DayOfWeek': 'четверг', 'Hours': '07:00-23:00'}, {'DayOfWeek': 'пятница', 'Hours': '07:00-23:00'}, {'DayOfWeek': 'суббота', 'Hours': '08:30-21:30'}, {'DayOfWeek': 'воскресенье', 'Hours': '08:30-21:30'}]",,нет,,нет,,да,нет,да,нет,нет,да,да,01.01-31.12,"[{'Square': 350, 'Length': 25, 'Width': 14, 'Depth': 1.8}]",смешанное освещение,специальное покрытие,0,платно,,приспособлен для всех групп инвалидов,общая физическая подготовка,"{'coordinates': [37.8980945538267, 55.7231275640298], 'type': 'Point'}"
407208476,Фитнес-клуб «Х-Фит Алтуфьево»,бассейн плавательный 25-ти метровый крытый,[{'Photo': '4fe652d1-5a72-49a5-92f9-45774cc69a38'}],Северо-Восточный административный округ,район Лианозово,"Угличская улица, дом 13, строение 1",rtk-manager@xfit.ru,www.xfit.ru,(499) 682-72-66,,"[{'DayOfWeek': 'понедельник', 'Hours': '07:00-00:00'}, {'DayOfWeek': 'вторник', 'Hours': '07:00-00:00'}, {'DayOfWeek': 'среда', 'Hours': '07:00-00:00'}, {'DayOfWeek': 'четверг', 'Hours': '07:00-00:00'}, {'DayOfWeek': 'пятница', 'Hours': '07:00-00:00'}, {'DayOfWeek': 'суббота', 'Hours': '08:00-23:00'}, {'DayOfWeek': 'воскресенье', 'Hours': '08:00-23:00'}]",,нет,,нет,,да,да,да,да,да,да,да,01.01-31.12,"[{'Square': 450, 'Length': 25, 'Width': 18, 'Depth': 2.2}]",освещение газоразрядными лампами,специальное покрытие,0,платно,,не приспособлен,общая физическая подготовка,"{'coordinates': [37.5659231990943, 55.9017560394589], 'type': 'Point'}"
407215743,Физкультурно-оздоровительный комплекс с бассейном «Есенинский»,бассейн плавательный 25-ти метровый крытый,[{'Photo': 'd826f127-fd05-4ecd-a9b7-fcf9966b2cff'}],Юго-Восточный административный округ,район Кузьминки,"Есенинский бульвар, дом 9, корпус 2, строение 1",cop@mossport.ru,vostok.mossport.ru/,(499) 746-96-20,,"[{'DayOfWeek': 'понедельник', 'Hours': '08:00-22:00'}, {'DayOfWeek': 'вторник', 'Hours': '08:00-22:00'}, {'DayOfWeek': 'среда', 'Hours': '08:00-22:00'}, {'DayOfWeek': 'четверг', 'Hours': '08:00-22:00'}, {'DayOfWeek': 'пятница', 'Hours': '08:00-22:00'}, {'DayOfWeek': 'суббота', 'Hours': '08:00-22:00'}, {'DayOfWeek': 'воскресенье', 'Hours': '08:00-22:00'}]",,нет,,нет,,да,нет,да,нет,нет,да,да,01.01-31.12,"[{'Square': 350, 'Length': 25, 'Width': 14, 'Depth': 1.8}]",смешанное освещение,специальное покрытие,0,платно,прейскурант цен указан на сайте организации,приспособлен для лиц с нарушением ОДА,общая физическая подготовка,"{'coordinates': [37.781521733349, 55.7006185786797], 'type': 'Point'}"
407217305,Спортивный комплекс «Парус»,бассейн плавательный площадью более 60-ти кв.м крытый,[{'Photo': 'd3781a98-b24e-4f8f-b7b3-a7795460ca27'}],Юго-Восточный административный округ,район Выхино-Жулебино,"Привольная улица, дом 42",mso@mos.sport,mos.sport/,(495) 681-01-48,,"[{'DayOfWeek': 'понедельник', 'Hours': '06:30-23:00'}, {'DayOfWeek': 'вторник', 'Hours': '06:30-23:00'}, {'DayOfWeek': 'среда', 'Hours': '06:30-23:00'}, {'DayOfWeek': 'четверг', 'Hours': '06:30-23:00'}, {'DayOfWeek': 'пятница', 'Hours': '06:30-23:00'}, {'DayOfWeek': 'суббота', 'Hours': '06:30-23:00'}, {'DayOfWeek': 'воскресенье', 'Hours': '06:30-23:00'}]",,нет,,нет,,да,нет,да,нет,нет,да,да,01.01-31.12,"[{'Square': 132.8, 'Length': 16.6, 'Width': 8, 'Depth': 1.2}]",смешанное освещение,специальное покрытие,0,платно,,не приспособлен,общая физическая подготовка,"{'coordinates': [37.8494793734134, 55.6923367910967], 'type': 'Point'}"
407218034,"Спортивный комплекс «Меридиан», к.3",бассейн плавательный площадью более 60-ти кв.м крытый,[{'Photo': 'bc6a210e-abb1-48c4-acea-7a4c7c52e997'}],Юго-Восточный административный округ,Нижегородский район,"Рязанский проспект, дом 7, корпус 3",mso@mos.sport,mos.sport/,(495) 681-01-48,,"[{'DayOfWeek': 'понедельник', 'Hours': '07:00-22:00'}, {'DayOfWeek': 'вторник', 'Hours': '07:00-22:00'}, {'DayOfWeek': 'среда', 'Hours': '07:00-22:00'}, {'DayOfWeek': 'четверг', 'Hours': '07:00-22:00'}, {'DayOfWeek': 'пятница', 'Hours': '07:00-22:00'}, {'DayOfWeek': 'суббота', 'Hours': '07:00-22:00'}, {'DayOfWeek': 'воскресенье', 'Hours': '07:00-22:00'}]",,нет,,нет,,да,нет,да,нет,нет,да,да,01.09-31.08,"[{'Square': 94.3, 'Length': 14.5, 'Width': 6.5, 'Depth': None}]",смешанное освещение,специальное покрытие,0,платно,,частично приспособлен,общая физическая подготовка,"{'coordinates': [37.7375795918039, 55.7318135870027], 'type': 'Point'}"
407221500,Фитнес-клуб «Х-Фит Монарх»,бассейн плавательный 25-ти метровый крытый,[{'Photo': '6b6476a0-af06-4761-8a2e-7b3dcd47e9f7'}],Северный административный округ,район Беговой,"Ленинградский проспект, дом 31А, строение 1",monmanager@xfit.ru,www.xfit.ru/club/monarch,(495) 232-40-22,,"[{'DayOfWeek': 'понедельник', 'Hours': '07:00-23:55'}, {'DayOfWeek': 'вторник', 'Hours': '07:00-23:55'}, {'DayOfWeek': 'среда', 'Hours': '07:00-23:55'}, {'DayOfWeek': 'четверг', 'Hours': '07:00-23:55'}, {'DayOfWeek': 'пятница', 'Hours': '07:00-23:55'}, {'DayOfWeek': 'суббота', 'Hours': '08:00-23:00'}, {'DayOfWeek': 'воскресенье', 'Hours': '08:00-23:00'}]",,нет,,нет,,да,да,да,да,нет,да,да,01.01-31.12,"[{'Square': 175, 'Length': 25, 'Width': 7, 'Depth': None}]",смешанное освещение,специальное покрытие,0,платно,Абонемент от 45000 рубл. до 70000 рубл.,частично приспособлен,общая физическая подготовка,"{'coordinates': [37.5600226736959, 55.7833822363477], 'type': 'Point'}"
407229506,Спортивный комплекс «Альбатрос Внуково»,бассейн плавательный 25-ти метровый крытый,[{'Photo': '7f0092b3-53c2-47ac-acfb-3c691f1013aa'}],Западный административный округ,район Внуково,"Рассказовская улица, дом 31",mso@mos.sport,mos.sport/,(495) 681-01-48,,"[{'DayOfWeek': 'понедельник', 'Hours': '07:00-22:30'}, {'DayOfWeek': 'вторник', 'Hours': '07:00-22:30'}, {'DayOfWeek': 'среда', 'Hours': '07:00-22:30'}, {'DayOfWeek': 'четверг', 'Hours': '07:00-22:30'}, {'DayOfWeek': 'пятница', 'Hours': '07:00-22:30'}, {'DayOfWeek': 'суббота', 'Hours': '07:00-22:30'}, {'DayOfWeek': 'воскресенье', 'Hours': '07:00-22:30'}]",,нет,,нет,,да,нет,да,да,нет,нет,да,01.09-31.08,"[{'Square': 350, 'Length': 25, 'Width': 14, 'Depth': 1.8}]",смешанное освещение,специальное покрытие,0,платно,,частично приспособлен,общая физическая подготовка,"{'coordinates': [37.3104321238268, 55.6134819022566], 'type': 'Point'}"
407233295,Физкультурно-оздоровительный комплекс с бассейном «Жемчужина»,бассейн плавательный 25-ти метровый крытый,[{'Photo': 'd8365a60-c08d-4ba2-8cac-e9ead7f546ab'}],Северо-Западный административный округ,район Митино,"улица Генерала Белобородова, дом 29",s7@mossport.ru,www.zapad.mossport.ru,(495) 733-22-77,,"[{'DayOfWeek': 'понедельник', 'Hours': '06:45-22:15'}, {'DayOfWeek': 'вторник', 'Hours': '06:45-22:15'}, {'DayOfWeek': 'среда', 'Hours': '06:45-22:15'}, {'DayOfWeek': 'четверг', 'Hours': '06:45-22:15'}, {'DayOfWeek': 'пятница', 'Hours': '06:45-22:15'}, {'DayOfWeek': 'суббота', 'Hours': '06:45-22:15'}, {'DayOfWeek': 'воскресенье', 'Hours': '08:00-21:00'}]",,нет,,нет,,да,нет,да,нет,нет,да,да,01.01-31.12,"[{'Square': 410, 'Length': 25, 'Width': 16.4, 'Depth': 2.2}]",смешанное освещение,специальное покрытие,0,платно,прейскурант цен на сайте организации,частично приспособлен,общая физическая подготовка,"{'coordinates': [37.3562214453862, 55.8321479832549], 'type': 'Point'}"
407233513,Физкультурно-оздоровительный комплекс с бассейном «Жемчужина»,бассейн плавательный крытый,[{'Photo': '20ae89a3-1840-48fc-8550-d63065ebb991'}],Северо-Западный административный округ,район Митино,"улица Генерала Белобородова, дом 29",s7@mossport.ru,www.zapad.mossport.ru,(495) 733-22-77,,"[{'DayOfWeek': 'понедельник', 'Hours': '06:45-22:15'}, {'DayOfWeek': 'вторник', 'Hours': '06:45-22:15'}, {'DayOfWeek': 'среда', 'Hours': '06:45-22:15'}, {'DayOfWeek': 'четверг', 'Hours': '06:45-22:15'}, {'DayOfWeek': 'пятница', 'Hours': '06:45-22:15'}, {'DayOfWeek': 'суббота', 'Hours': '06:45-22:15'}, {'DayOfWeek': 'воскресенье', 'Hours': '08:00-21:00'}]",,нет,,нет,,да,нет,да,нет,нет,да,да,02.01-31.12,"[{'Square': 132, 'Length': 16.5, 'Width': 8, 'Depth': 1.25}]",смешанное освещение,специальное покрытие,0,платно,прейскурант цен на сайте организации,не приспособлен,общая физическая подготовка,"{'coordinates': [37.3567471583537, 55.8321359066964], 'type': 'Point'}"
407240115,Спортивный комплекс «Бусиново»,бассейн плавательный 25-ти метровый крытый,[{'Photo': '8816c116-38e3-4e0c-9989-cff91cb30d60'}],Северный административный округ,район Западное Дегунино,"улица Маршала Федоренко, дом 14А",sever@mossport.ru,sever.mossport.ru/,(495) 486-15-91,,"[{'DayOfWeek': 'понедельник', 'Hours': '06:30-22:00'}, {'DayOfWeek': 'вторник', 'Hours': '06:30-22:00'}, {'DayOfWeek': 'среда', 'Hours': '06:30-22:00'}, {'DayOfWeek': 'четверг', 'Hours': '06:30-22:00'}, {'DayOfWeek': 'пятница', 'Hours': '06:30-22:00'}, {'DayOfWeek': 'суббота', 'Hours': '07:00-22:00'}, {'DayOfWeek': 'воскресенье', 'Hours': '07:45-21:15'}]",,нет,,нет,,да,нет,да,да,нет,да,да,01.09-31.08,"[{'Square': 350, 'Length': 25, 'Width': 14, 'Depth': 1.8}]",смешанное освещение,специальное покрытие,0,платно,прейскурант цен указан на сайте организации,частично приспособлен,общая физическая подготовка,"{'coordinates': [37.4896608399201, 55.8824597794495], 'type': 'Point'}"
